Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Carbon Emissions (Million Tons)
China,2012,4696.92,27276.34,24.538799414348464,75.46120058565154,2092.5
Germany,2019,4038.37,4101.2,64.16930563064803,35.830694369351974,4266.38
Australia,2000,8632.91,30389.26,8.36,18.58,928.45
USA,2009,3375.43,49654.71,56.762563048757706,43.23743695124229,4079.87
UK,2007,2667.72,48224.18,45.80246913580247,54.19753086419753,4645.2
Germany,2023,7458.82,41544.09,37.58,47.66,882.78
Australia,2007,3661.66,13683.89,41.80901708204984,58.190982917950166,4998.0
Japan,2018,8485.29,1609.18,61.62818376577005,38.37181623422995,4953.14
China,2005,3346.1,41760.31,19.02,48.22,3125.53
Canada,2011,7049.25,3258.15,24.68,29.93,1379.25
Australia,2006,546.58,10678.59,48.55,24.09,2176.64
China,2015,3917.07,27450.43,39.83,29.52,893.4
Russia,2008,3497.98,9329.71,53.82,40.86,645.0
Canada,2020,8185.12,41772.52,55.53554755235427,44.464452447645726,3534.95
Brazil,2024,9673.85,38969.4,54.941051794939725,45.05894820506027,2920.24
Brazil,2021,4662.72,37910.59,24.55,21.44,2839.69
Canada,2009,8265.88,40898.32,30.68,48.7,1276.42
Japan,2009,7026.98,11375.24,18.78,39.12,1212.79
Japan,2009,9677.12,36580.17,62.6615855936636,37.3384144063364,4949.18
Japan,2019,8129.97,18086.43,38.82,55.33,3162.43
Australia,2015,867.03,33508.82,43.22,29.57,4106.31
UK,2000,7161.49,6540.08,49.61713085315444,50.382869146845565,1923.63
Australia,2016,5401.45,35426.54,39.168278529980654,60.83172147001934,4226.22
India,2020,262.72,48619.33,15.18,17.38,3625.78
USA,2013,2588.0,2658.22,41.62476584836833,58.37523415163166,1783.12
Canada,2018,9225.38,5144.53,58.59,12.33,3602.59
Germany,2020,9268.01,6620.02,66.13,13.26,4631.83
USA,2020,8008.62,21812.91,43.71804236669101,56.28195763330898,1107.97
Russia,2016,9819.62,14893.62,15.13,58.64,2760.78
Australia,2013,8084.8,40442.55,30.87,32.72,4834.92
Australia,2007,201.02,23952.47,54.20959433354797,45.79040566645203,4115.92
China,2020,2949.56,24484.6,53.55968596926793,46.44031403073207,3120.44
USA,2020,403.18,35993.39,9.01,70.96,395.34
China,2008,1031.67,18417.46,8.59,11.44,2061.3
Germany,2007,2266.52,17983.76,47.01110498542963,52.98889501457037,3271.29
China,2012,5085.23,37967.86,42.52267106347898,57.47732893652102,2077.83
USA,2016,8490.57,39112.07,18.2,51.69,4985.56
Canada,2018,8633.47,1212.74,51.6,43.59,3779.29
Russia,2006,6200.4,7617.63,83.17234848484848,16.827651515151516,976.06
Australia,2016,9288.94,11048.36,58.63,26.77,2477.41
Germany,2000,5050.62,17904.22,43.18,44.33,1950.66
Australia,2004,8901.46,14926.68,51.638108293351614,48.36189170664839,2989.52
India,2024,4595.25,33591.74,23.09,66.22,2260.49
Russia,2005,2844.53,41492.69,40.22,44.72,1227.61
UK,2001,9172.49,10008.31,43.41314758380497,56.58685241619503,3635.64
China,2024,3940.56,28367.51,42.95452506951296,57.04547493048704,577.97
Brazil,2015,5083.7,18706.9,62.23750093416037,37.76249906583962,2684.06
USA,2021,3355.72,25536.0,29.88,25.42,1585.29
Australia,2004,6662.09,31227.51,9.8,34.36,4834.33
China,2004,9950.81,44733.19,79.41937338315608,20.58062661684392,1552.63
Germany,2011,352.58,10018.49,23.45,10.5,1737.66
Australia,2002,9008.5,4806.83,37.22,15.64,3550.08
UK,2015,138.87,31546.99,44.24536628420123,55.75463371579876,685.95
Russia,2005,3705.86,20009.48,87.69568252069,12.30431747931,1656.89
Russia,2014,1769.21,8563.68,50.5,37.99,3494.78
Australia,2014,7597.68,6295.81,35.277732262821566,64.72226773717844,202.23
Germany,2015,601.05,28166.03,45.40239441303625,54.59760558696375,1589.45
Russia,2019,5579.5,15373.29,58.32333733173397,41.676662668266026,90.87
Russia,2012,3019.77,49872.61,71.82922127987663,28.17077872012336,793.63
UK,2011,1423.34,20592.09,19.36,54.92,3040.78
USA,2009,7741.0,11008.19,62.00186140959472,37.99813859040528,2310.74
Germany,2013,2252.43,31628.03,58.76613398893669,41.233866011063306,822.33
Germany,2001,2314.38,12590.62,61.13030128574171,38.8696987142583,436.23
Canada,2002,2823.26,24957.26,56.33620290660002,43.66379709339998,328.81
Canada,2008,5908.99,24387.52,34.908762123951995,65.091237876048,472.52
Russia,2010,6630.69,22951.1,59.54,33.05,525.58
Brazil,2010,274.26,39906.24,67.69,25.15,477.25
Canada,2024,2494.51,11222.34,15.44,41.39,322.65
Russia,2021,4366.61,45263.21,26.87,46.7,3500.3
Japan,2009,3386.57,39671.35,21.5,15.99,4709.27
India,2013,8853.29,16989.56,53.5264483627204,46.47355163727959,4287.1
India,2008,7898.32,9439.82,61.3640805159273,38.63591948407269,1365.98
Germany,2019,6296.31,14336.98,43.32,38.92,1061.18
Brazil,2020,3446.62,16965.49,57.26795096322241,42.73204903677759,287.16
UK,2009,7036.66,28068.19,50.69198831308627,49.30801168691373,822.37
USA,2021,8452.02,2795.22,51.12568035625928,48.87431964374072,2860.47
Canada,2008,5988.82,45760.78,11.53,22.15,4990.72
Japan,2004,7866.17,5384.41,48.28,34.19,4302.22
Russia,2007,7516.14,14324.03,65.07,21.78,2598.86
Brazil,2010,5760.2,5909.73,22.64,71.66,2146.1
Germany,2000,3190.61,13205.3,32.81,48.39,781.74
Canada,2020,7483.24,41964.85,36.82444686253174,63.17555313746826,2122.03
Brazil,2009,2147.28,30951.2,47.87114661033731,52.12885338966268,2994.55
Canada,2000,7816.93,11752.5,46.95,48.51,2997.6
USA,2021,8065.01,43652.05,46.89,18.27,2809.86
USA,2006,8239.23,40135.25,41.63,35.29,4128.89
UK,2013,4781.87,37805.64,24.43,12.53,2574.92
India,2004,2005.56,42457.82,54.5811261526388,45.4188738473612,2390.61
China,2016,1087.26,31172.66,32.01,11.25,1563.58
China,2021,7459.28,25321.15,50.85021016431027,49.14978983568973,942.2
Canada,2020,8873.99,19009.78,17.65,17.43,56.95
UK,2005,6543.3,11576.32,41.91,10.53,1644.39
China,2015,1527.18,28091.88,74.5512528473804,25.44874715261959,3183.75
Germany,2010,9355.47,44529.87,64.8220486111111,35.17795138888889,2816.54
China,2009,9892.11,29902.1,35.75,15.26,2676.06
Australia,2014,4390.45,46020.54,18.09,53.04,3873.27
Russia,2006,5988.77,18167.41,31.73,57.04,1202.59
UK,2022,7794.56,34909.33,29.64769647696477,70.35230352303523,3408.76
Germany,2001,7390.26,32608.94,45.03201506591337,54.96798493408663,3055.47
Brazil,2011,9681.09,33686.48,47.17,49.68,1728.01
Germany,2018,1237.34,32429.58,51.75916384513469,48.2408361548653,1131.79
India,2011,5849.18,11471.91,64.5712572456526,35.42874275434739,2835.31
Brazil,2015,6950.12,7607.75,26.36,51.0,4728.48
Japan,2005,8911.97,48942.1,65.21066521066523,34.78933478933478,427.94
Russia,2002,8753.69,2742.11,69.63478575302838,30.36521424697161,4767.27
Russia,2001,9782.2,23652.96,47.82943745183663,52.17056254816337,2350.55
Russia,2019,5169.58,21541.48,73.15477229104869,26.84522770895132,3564.72
Russia,2004,8324.53,18320.94,66.13365375727886,33.86634624272114,4025.86
Canada,2010,4330.09,39208.2,55.61,35.7,800.0
Russia,2024,4280.91,37394.84,53.6253677672442,46.37463223275581,272.54
Russia,2002,2608.15,45308.63,56.03,21.93,686.03
Russia,2002,8200.55,20076.63,49.3,36.7,1737.72
UK,2021,9859.57,28426.89,32.83998882993578,67.16001117006422,4784.94
Canada,2004,2637.78,44669.2,80.04,11.07,261.74
USA,2021,655.7,49695.48,15.43,76.35,4603.0
Germany,2022,8173.87,48480.07,38.29229076753829,61.7077092324617,2828.41
Germany,2010,6240.28,36033.27,50.68,39.25,556.59
Brazil,2002,9601.02,7589.76,48.34971259039496,51.65028740960504,806.11
UK,2012,2597.17,1647.71,43.21791386464444,56.78208613535556,3462.19
Australia,2020,803.17,41348.31,47.99,48.85,3061.84
Germany,2007,4975.18,42126.63,26.83,16.78,878.91
China,2019,946.11,37444.86,52.74070058947083,47.25929941052917,4526.44
Australia,2009,2691.72,14356.21,60.89,19.39,707.87
Russia,2001,1347.18,32170.98,73.56549641374103,26.43450358625897,2582.29
Russia,2003,2318.91,16154.3,28.46,71.15,2665.06
Canada,2017,1150.83,22807.09,59.15,27.92,4358.99
Australia,2018,9543.67,19430.54,51.38432660722665,48.61567339277335,159.64
China,2003,2857.77,45725.18,37.59,41.34,725.44
Canada,2019,4494.59,12090.79,53.957149103629206,46.0428508963708,894.86
Brazil,2008,8996.26,29091.74,5.21,26.26,361.26
Australia,2015,6805.48,18368.59,55.57,39.37,3175.84
UK,2005,6218.57,33322.02,57.15,32.27,1186.52
Russia,2024,7085.08,28445.88,50.38,27.43,2904.52
Russia,2003,8305.34,46236.9,58.55,32.01,3923.93
India,2008,8788.93,5529.8,19.21,32.61,2072.22
Canada,2012,6462.13,11421.72,45.12099364694125,54.87900635305875,3855.81
USA,2008,8911.07,38434.22,33.54,47.33,3900.45
USA,2005,5400.44,18754.95,43.42,42.34,1353.94
Canada,2020,2845.18,8706.3,33.31,45.23,127.94
UK,2018,8812.76,25414.4,36.22110231181506,63.77889768818494,561.25
Japan,2013,5460.58,32781.03,50.91565416446557,49.08434583553443,4126.44
Canada,2020,9070.76,2718.92,56.28044280442804,43.71955719557196,2056.27
UK,2014,497.66,14935.28,46.09,31.95,4203.53
Brazil,2002,4035.41,40566.42,32.47,43.01,2760.2
Russia,2004,9483.27,26252.11,46.48,22.88,1027.11
China,2020,2571.54,2251.27,52.30022220393384,47.699777796066165,3575.57
Japan,2017,9421.21,14456.57,34.47,34.11,2813.02
Australia,2013,9543.63,32137.46,39.19485329954186,60.80514670045814,1791.44
Japan,2015,8833.21,10368.29,52.84,24.92,484.2
China,2013,5680.31,41455.87,29.99,38.25,556.38
India,2008,6504.7,33990.51,22.77,42.98,983.13
Russia,2014,8709.21,23833.26,16.93,21.66,3381.01
USA,2006,7781.38,45823.38,34.97,14.87,3653.46
UK,2013,6337.93,19894.14,9.11,32.19,3173.03
Canada,2005,9824.37,12136.13,53.14385828304458,46.85614171695542,1719.48
Canada,2020,6888.2,33239.45,19.95,55.69,2230.33
USA,2014,9757.27,28878.11,37.08,39.77,3562.32
Japan,2019,668.15,17094.77,27.88,45.02,3316.28
Russia,2007,1475.71,17511.4,54.953095684803,45.046904315197004,3876.42
Germany,2001,4569.44,20211.41,62.77312972138738,37.22687027861262,1243.63
UK,2007,3910.31,14911.36,58.83,16.32,72.22
Brazil,2000,7849.07,35656.95,51.11,38.35,1368.89
China,2016,1690.08,32742.24,61.87,24.3,1772.06
Japan,2018,9763.34,22318.49,7.55,47.36,4804.54
Australia,2004,3219.15,20193.81,15.44,63.07,1127.77
India,2021,4346.34,18570.04,13.07,50.56,4140.7
Canada,2019,2819.98,14531.68,13.35,25.53,3131.43
Japan,2015,5835.7,4741.98,27.14,24.54,879.31
India,2006,680.42,13776.13,50.22,12.59,2047.35
China,2006,1581.81,16399.47,14.75,39.85,2575.29
Canada,2017,7483.4,27610.36,67.70315755730086,32.296842442699145,1753.54
Canada,2017,1946.36,38802.53,74.51036866359448,25.48963133640553,1169.44
Germany,2001,2431.59,20087.26,57.97206962737441,42.02793037262559,1301.61
Japan,2014,7950.52,47265.47,8.61,37.05,2946.77
Russia,2013,1023.68,41453.82,57.639871861729866,42.36012813827013,3456.12
USA,2017,4430.99,49247.69,57.22759912581954,42.77240087418045,2371.41
USA,2008,328.33,43872.05,60.95067532273711,39.049324677262895,4711.59
Brazil,2013,3533.39,31027.93,40.40829552819184,59.59170447180816,3656.4
Australia,2004,7019.92,30124.72,71.97,11.11,4464.2
India,2010,992.02,6911.54,9.36,14.76,2404.53
Japan,2007,8894.51,36258.76,11.45,60.55,123.67
UK,2004,9104.04,30210.24,15.08,34.75,2980.75
Australia,2010,1139.4,25593.14,51.14324558151032,48.856754418489686,4100.38
Germany,2004,9908.25,34817.7,10.2,25.15,2705.85
Canada,2016,3045.54,22480.37,13.51,22.84,2861.11
Russia,2021,932.61,26431.05,62.16176253142097,37.83823746857903,4876.11
Japan,2003,150.16,20218.44,14.13,29.56,1862.4
Australia,2014,4144.38,36009.86,69.99822632139056,30.001773678609432,4019.27
Australia,2018,6335.12,43892.24,49.18804585152839,50.811954148471614,2550.12
Russia,2021,3388.57,42121.82,8.42,11.84,2345.37
Brazil,2001,8383.5,39408.25,6.86,47.19,770.61
India,2023,7194.4,1182.49,50.42,33.44,3754.56
India,2016,3566.6,45638.08,72.39877399580578,27.601226004194224,4125.31
Australia,2011,7369.67,14106.35,74.45119103222792,25.548808967772068,2182.84
China,2024,9410.83,44454.71,31.35,19.44,3829.48
Australia,2023,1021.65,10249.92,37.84,12.41,2926.55
Australia,2016,3130.43,22262.46,32.42250875245495,67.57749124754504,1324.89
Russia,2009,4686.93,37595.24,54.52119055321902,45.478809446780986,4622.39
Canada,2024,5030.1,32193.81,34.0,64.4,3499.02
Russia,2017,5467.74,21088.14,17.56,14.55,4397.76
Japan,2018,3076.21,34091.88,68.5,11.04,1443.25
Australia,2017,6705.87,27673.0,43.93,52.02,4586.0
India,2012,6486.34,14148.95,11.53,60.67,1855.1
UK,2013,5820.43,32493.31,65.71636761089353,34.28363238910647,97.18
India,2023,1226.24,10610.23,54.75,37.14,421.39
USA,2015,4821.98,34852.42,46.6,36.91,492.23
Brazil,2017,3626.65,653.99,62.23,20.69,1075.36
Germany,2017,4961.28,27664.24,43.31256208796171,56.6874379120383,973.28
Japan,2015,9226.48,20352.85,60.12,25.06,336.58
Japan,2016,4857.26,15503.64,70.6505159264244,29.3494840735756,4482.19
Brazil,2006,238.41,26027.54,50.07008936393902,49.92991063606098,4150.13
UK,2011,4444.48,32442.93,61.07,10.01,3825.98
Germany,2001,8224.42,48282.96,47.326601556033765,52.67339844396624,2421.71
Canada,2009,7822.6,41736.69,40.7425461044764,59.2574538955236,2154.48
Australia,2004,5182.56,35998.92,19.62,13.61,2155.55
Germany,2020,2572.71,24208.86,33.53,51.41,1345.75
UK,2002,4704.38,19911.13,62.35121951219512,37.648780487804885,3060.88
China,2018,5680.65,2110.22,41.17,15.49,342.44
USA,2012,9998.73,18275.3,39.52,57.76,3310.98
Germany,2011,6477.36,42494.67,56.81372549019608,43.18627450980392,2593.59
Germany,2002,6973.22,19509.22,5.47,54.99,4091.78
USA,2005,4965.4,23348.46,48.36868492094099,51.63131507905901,4865.07
Australia,2013,3609.45,13955.8,46.58,30.08,4389.22
Germany,2003,8148.23,14069.57,37.02,57.39,3613.62
USA,2012,4999.83,3562.65,33.95,62.03,2192.28
USA,2018,9947.43,30883.29,19.69,21.82,1111.9
USA,2017,4625.49,22679.44,30.26268115942029,69.7373188405797,3341.12
Russia,2002,773.2,30495.06,38.27,33.8,1047.92
UK,2019,6857.52,27570.9,41.296260035245744,58.70373996475426,150.28
Russia,2005,561.75,40042.81,49.74785880092852,50.252141199071474,2887.5
China,2015,2579.97,37675.09,43.55,45.28,2000.95
Canada,2019,3602.01,38686.97,72.68,19.01,4386.29
Russia,2023,7420.89,25212.33,59.38,29.3,3246.61
Russia,2002,4992.94,18017.13,21.12,26.4,3253.89
UK,2011,383.59,46705.11,28.56,46.3,3950.07
Canada,2018,6206.81,3186.35,11.74,28.29,1711.48
Brazil,2018,4173.22,8054.75,63.88597935059105,36.11402064940895,4792.95
USA,2023,9226.16,21270.16,72.7042431918936,27.2957568081064,1145.54
Japan,2003,5045.67,30890.9,12.21,10.07,4364.82
Canada,2000,7118.85,905.92,53.8,35.43,4558.66
China,2001,2266.8,36106.48,62.27445906117461,37.72554093882539,243.25
Australia,2012,7633.64,28156.96,51.639406045074246,48.36059395492575,3177.52
China,2012,7237.46,24492.79,46.8,11.99,3759.63
USA,2001,9050.41,21463.0,25.49,28.08,4771.46
Canada,2018,434.83,26214.61,26.666666666666668,73.33333333333333,1294.33
China,2021,4530.26,8508.39,67.58,28.33,2831.16
China,2023,6823.64,5881.23,52.55985267034991,47.440147329650095,3876.93
Brazil,2015,1042.12,14837.06,49.94,45.66,784.36
Brazil,2011,4164.98,35620.49,15.28,18.55,4272.26
Canada,2000,9427.25,29620.25,60.52216324774064,39.47783675225936,2048.01
USA,2008,4415.75,24266.09,49.728049728049726,50.271950271950274,3216.77
Russia,2016,9855.51,28790.29,16.95,72.08,258.09
India,2009,662.71,28183.27,9.82,58.32,1153.53
Germany,2017,7206.51,15698.58,50.55,45.85,2417.02
Japan,2018,5852.06,5324.07,29.15,32.35,1481.59
Germany,2006,5055.34,44890.73,29.08,34.99,4791.32
UK,2024,9711.39,30195.61,12.41,34.23,3984.92
Brazil,2018,1383.54,35038.53,53.57743321501962,46.42256678498038,4331.16
Canada,2023,8970.39,23467.86,75.29646238166418,24.703537618335822,2358.27
Germany,2014,6943.28,37945.79,14.68,36.46,2394.53
USA,2008,2664.06,29432.61,66.39665970772442,33.603340292275576,4035.69
Japan,2009,9026.52,3163.16,62.014360184911965,37.98563981508803,1968.29
Germany,2022,4350.02,44559.8,32.66,10.29,2430.2
Japan,2019,8160.85,15624.04,73.18337498842914,26.81662501157086,2666.52
Australia,2019,3949.48,7325.59,55.42539461927925,44.57460538072074,3055.43
USA,2003,8524.22,4858.03,54.95476241362114,45.04523758637885,3267.35
India,2005,6402.63,36161.8,44.89,49.86,3419.72
China,2003,1496.36,35346.43,47.56,36.94,2247.85
Japan,2004,6531.67,35158.03,29.74,56.56,1510.98
USA,2008,1994.31,45829.76,37.95,56.61,4604.76
Japan,2011,4178.03,17772.68,53.26,27.35,4142.27
Japan,2022,1785.93,28276.09,83.20358115998442,16.79641884001557,67.02
Russia,2007,317.96,31165.03,45.823447598789166,54.176552401210834,2588.97
Russia,2020,2197.68,48984.35,17.53,47.08,1409.29
USA,2004,5410.08,15961.13,5.59,22.36,3231.51
Russia,2010,4867.45,47838.39,73.18065676161635,26.81934323838365,2538.07
UK,2022,5064.82,7862.35,35.97,63.65,154.77
India,2010,2552.1,38318.07,31.77,55.73,3652.47
Canada,2012,6883.1,31827.85,48.96126524594558,51.03873475405442,1413.16
USA,2013,7072.21,40936.35,66.7344226409194,33.2655773590806,1338.17
USA,2007,3643.88,1919.94,68.58,13.65,208.03
UK,2024,8823.58,4367.49,19.78,59.03,4150.26
Brazil,2017,6475.83,3949.94,38.27,27.84,2915.26
Brazil,2018,7159.09,29851.49,68.03952259831735,31.960477401682645,2449.97
Russia,2011,2845.67,30345.34,77.54581522765918,22.454184772340827,3395.27
Canada,2011,106.06,45352.19,73.96922064027652,26.03077935972348,1759.58
Russia,2017,8667.22,23646.37,41.599450832332245,58.40054916766776,2868.9
Australia,2009,8242.0,3868.43,59.79406130268199,40.205938697318,1283.9
Australia,2006,1319.6,10871.71,8.96,17.64,361.63
China,2017,3803.64,899.62,29.3,51.06,2828.65
Australia,2011,6647.26,38947.37,36.58,54.35,1144.9
Brazil,2013,6555.9,40872.17,54.99812335793819,45.0018766420618,3762.71
India,2014,8617.47,49898.05,5.29,70.18,2286.62
Australia,2015,1488.65,20903.63,31.18,14.4,1289.47
Russia,2001,4356.4,1455.27,54.33574567071595,45.664254329284056,3061.31
Japan,2017,1062.52,12119.13,31.07,13.56,627.27
USA,2011,3956.99,29594.56,24.13,20.79,3819.05
India,2015,249.56,48116.18,67.06,17.81,2288.28
India,2012,8992.9,5627.14,68.35,22.72,4072.6
Russia,2019,5317.74,6517.86,40.53156146179402,59.46843853820598,733.58
USA,2016,8513.04,35237.07,59.56661092530658,40.43338907469342,1943.58
Brazil,2017,693.06,33526.75,22.23,58.09,941.15
India,2002,2351.84,12900.06,52.57331891341689,47.426681086583116,352.92
China,2022,2667.86,40750.67,64.90389123300515,35.096108766994845,4778.97
Russia,2009,3928.25,6874.55,36.3,10.23,3646.91
India,2000,8048.38,46324.22,57.326478149100254,42.67352185089975,1661.75
Canada,2005,3926.92,10451.08,16.32,70.77,1268.44
USA,2002,2126.07,4526.94,16.13,78.34,1061.39
Australia,2018,743.4,17306.34,70.32047527403564,29.679524725964352,262.9
India,2003,886.97,9798.14,13.06,67.55,558.21
Russia,2019,7624.47,26583.59,5.35,69.45,559.39
Australia,2022,4503.55,34498.9,38.07,20.11,3348.01
China,2002,7289.19,24800.62,13.83,54.2,2993.8
Australia,2007,6854.64,33200.06,77.98566878980891,22.01433121019108,2862.56
Canada,2007,1440.09,18563.57,66.90993664287433,33.09006335712567,3685.59
Brazil,2006,1514.59,1882.17,39.137461721674036,60.862538278325964,1293.3
India,2001,7577.89,48716.17,38.682702245607445,61.31729775439256,1745.25
Germany,2020,7240.56,41060.97,50.44669446098868,49.55330553901131,677.17
Germany,2005,3842.5,4134.23,24.23,66.61,2959.17
Australia,2015,866.48,22734.23,30.33,20.7,4667.88
UK,2009,219.77,31933.44,13.58,23.64,4322.53
USA,2003,2952.75,9934.42,42.95,24.62,2797.24
Germany,2012,191.3,29110.44,46.97881460720468,53.02118539279531,3240.81
UK,2009,2377.72,26915.61,53.73945282536435,46.26054717463565,4961.93
Germany,2020,4253.06,10809.13,57.85702098617983,42.14297901382017,2610.91
UK,2013,1302.02,7489.91,46.307134894091405,53.69286510590858,4359.41
USA,2008,1132.35,38068.63,31.18,60.96,2528.25
Japan,2010,8974.73,16468.03,61.94213604185903,38.05786395814096,286.95
Germany,2022,5896.15,12580.01,61.81489515545914,38.18510484454085,4676.57
Canada,2017,9351.11,37024.98,54.80450198425607,45.19549801574394,603.81
India,2010,3523.68,36935.4,8.3,16.31,3535.73
UK,2016,6803.73,14181.88,56.37,21.76,1227.9
India,2001,2126.45,43692.14,59.67,28.64,4510.13
Russia,2002,6221.57,34568.38,29.286340181092395,70.7136598189076,1042.42
Russia,2010,1382.9,17615.33,53.99069542625824,46.009304573741765,743.37
USA,2017,120.6,21660.74,29.75,34.93,2221.63
UK,2002,9322.16,36472.13,23.41,74.67,2508.57
China,2014,5593.45,10973.4,46.15,48.28,4103.69
Russia,2010,9276.71,23703.66,32.47,43.13,3823.89
USA,2010,3404.93,32851.14,55.02206415069486,44.97793584930515,1674.93
Russia,2024,3345.08,27205.18,42.41,48.23,1955.5
Russia,2019,4066.48,30612.25,39.86,41.81,2904.52
China,2024,7089.81,27537.52,58.2,11.12,2780.3
Germany,2010,5701.51,10361.76,11.89,10.9,4317.13
Australia,2018,9261.01,20805.16,56.24340770791074,43.756592292089245,2388.75
Japan,2000,351.86,26833.28,70.31,15.14,4472.87
Russia,2004,7111.14,39113.11,42.374625748503,57.62537425149701,1065.1
Russia,2009,3370.24,32868.26,61.68538522068817,38.31461477931183,4344.75
Canada,2009,1884.31,21616.25,54.24,42.04,1556.25
Japan,2013,5152.92,48732.79,51.78124242669037,48.21875757330964,3956.83
China,2001,5100.13,5835.88,51.244787834191804,48.755212165808196,2848.67
India,2003,1456.41,10736.84,61.64,27.24,4384.03
UK,2001,2098.77,17394.97,41.71,48.99,1194.71
Russia,2017,4140.83,11814.32,7.11,69.0,3522.42
Australia,2012,4147.23,31459.38,66.91,11.18,4252.35
UK,2018,3243.83,2457.76,78.20420636347295,21.79579363652705,3894.62
Japan,2004,1570.6,9283.12,44.97,46.47,2851.7
UK,2019,143.3,15020.69,33.88,48.66,3393.23
Germany,2001,9705.33,34325.62,49.14,16.04,1022.76
Russia,2010,9440.64,43855.31,63.46737481031867,36.53262518968134,1121.5
UK,2017,4888.14,40025.34,5.06,46.38,1373.09
India,2005,9951.01,9513.01,66.9971671388102,33.0028328611898,4148.67
India,2022,6769.18,28487.59,57.64098148945329,42.359018510546704,878.83
Russia,2009,781.69,1986.12,44.35266498565342,55.64733501434659,1529.67
Brazil,2021,1265.41,15871.57,15.4,42.22,4606.15
India,2022,9169.5,40396.2,60.94210009813542,39.057899901864566,3788.42
UK,2016,6337.52,23104.95,16.72,59.38,3678.97
USA,2021,8447.52,7922.1,48.14,48.87,2302.95
India,2010,8992.87,22208.39,12.96,70.93,3526.69
Japan,2018,4534.63,10302.63,55.07,43.68,2850.35
Brazil,2016,580.41,19962.98,32.04,50.2,403.75
UK,2023,1963.98,24647.76,75.63,19.02,2903.8
China,2003,759.06,17803.13,51.58281514980215,48.417184850197856,2288.62
Canada,2023,1968.52,46879.96,69.43521594684385,30.564784053156146,614.12
China,2013,4164.28,28345.25,26.89,60.33,1754.11
Germany,2019,1270.15,42223.19,10.25,40.06,4479.25
Canada,2003,1750.66,38156.06,42.66,10.07,4028.33
Germany,2013,4513.64,33227.73,12.09,38.03,4573.82
Canada,2003,3467.69,25095.99,20.17,20.33,3599.54
Canada,2005,4729.82,607.6,55.77,37.9,3181.14
USA,2008,4348.8,30866.65,55.33,32.49,739.23
Australia,2020,6480.33,18119.89,8.68,24.18,580.69
Japan,2011,9378.18,6329.23,42.65,18.66,1271.43
China,2007,1167.86,22509.0,45.07967948140813,54.92032051859188,1605.28
India,2023,1082.68,36909.89,27.78,62.84,3054.83
UK,2003,8542.78,48103.05,73.48379307142194,26.51620692857806,4392.68
Brazil,2024,5113.33,19018.19,18.69,44.66,4459.12
Japan,2024,7687.41,27364.8,26.58,42.48,3427.67
Germany,2004,2232.68,42636.6,18.34,34.87,2890.87
USA,2005,8305.74,17032.97,14.91,29.43,1259.72
Germany,2004,9246.08,7541.73,77.59174535189331,22.40825464810669,4692.83
Australia,2018,6391.28,14453.15,28.62,71.1,3372.01
Brazil,2007,1148.2,45006.58,49.28751669882737,50.71248330117263,2690.61
USA,2008,8963.42,8389.96,41.38,39.2,564.58
Germany,2014,7945.63,16796.44,49.40182380992219,50.5981761900778,4138.12
Australia,2003,7533.69,23499.7,65.14716160596411,34.85283839403588,1777.51
UK,2024,463.61,42432.1,76.79,15.98,4507.9
UK,2008,8009.73,46916.81,10.86,67.57,883.65
Germany,2006,1465.72,21577.61,75.19326744299833,24.80673255700166,290.55
Japan,2007,2301.62,46631.73,42.1850699844479,57.8149300155521,2201.9
Brazil,2014,5813.63,8492.23,34.76,46.92,437.6
Russia,2018,2723.31,8264.19,51.5810440700473,48.418955929952695,355.92
Japan,2014,6647.35,47487.92,66.61747572815534,33.38252427184466,3582.97
UK,2004,6119.9,25729.17,13.0,59.18,1324.01
Brazil,2018,1170.68,9702.44,70.29,12.3,3212.31
Australia,2006,6594.54,24655.52,22.3,12.86,2875.62
USA,2005,9247.15,39268.95,33.90277146751477,66.09722853248523,746.73
Canada,2018,1694.99,41432.56,55.922398589065246,44.07760141093474,1959.61
Germany,2024,6010.91,43266.48,43.04741162673815,56.95258837326185,377.02
China,2016,3484.47,28693.76,10.73,41.96,2137.28
Brazil,2009,4650.16,43413.83,48.18,42.18,952.69
India,2018,2941.3,25746.5,60.35146443514645,39.64853556485356,526.73
Australia,2010,3605.89,30549.47,49.95,27.06,1619.08
Russia,2014,386.23,38056.63,19.19,61.35,66.93
Canada,2009,9817.36,21559.05,38.62386148435386,61.37613851564614,3800.96
India,2010,6285.52,4142.28,53.20218996689584,46.79781003310416,833.01
Russia,2022,5056.99,17833.23,56.888183684898266,43.11181631510173,3147.89
China,2002,3898.78,31385.24,63.20950405430889,36.79049594569112,4171.28
UK,2002,5439.81,10020.45,51.29670643709366,48.70329356290634,4590.33
Japan,2017,3863.05,7845.08,12.71,62.69,2810.0
Germany,2024,3663.09,15007.49,43.49528528048586,56.50471471951415,3952.0
USA,2010,4693.07,2089.52,36.95,55.9,2301.12
Russia,2019,2832.23,37299.43,16.83,71.83,2476.39
Canada,2021,1882.49,13306.42,22.23,16.23,2756.52
Brazil,2017,5610.4,6649.8,55.361712026052565,44.63828797394743,3367.18
UK,2024,8443.38,35106.91,18.73,16.22,3366.09
